2.0154638315963045e-16	6.477537831234751e-17	1.0683215190826985e-16	5.336417235190177e-17	-1.1254177404824487e-16	3.882018344183555e-17	-6.853907126142294e-17	5.425257292607957e-17	6.492188399509244e-17	5.724323229999084e-17	1.1345130895915802e-16	5.434734843611315e-17	-9.516154144056e-17	-2.619527176926054e-17	6.938738739061983e-17	7.412126444497306e-17	1.4751068479263675e-16	1.0063755218081951e-16
-1.983583657083912e-17	4.1252059009796194e-17	-1.885175098712565e-16	6.616754711958542e-17	1.9599503512999604e-17	-1.8089274218654037e-16	-1.53282060390587e-16	2.375616529044555e-16	-1.1397440435385715e-16	-7.796224107118601e-17	6.504629247916226e-17	-2.986518167196786e-17	3.1053197745308366e-16	-2.265137736034421e-17	8.0057916017178e-17	-1.292098494214909e-16	7.186671053547977e-17	1.2586873407324758e-16
-2.421802274537138e-17	-1.5724756723823716e-17	-1.9373000326935202e-17	-6.5006811509339e-17	7.361993848168654e-17	-3.893289988602953e-17	-3.1475796865466265e-17	-1.1417073504687617e-16	-2.200038002717683e-17	1.4388986251042217e-17	-1.6586944667145567e-16	1.6711990684934342e-16	-8.281732220363759e-17	1.0737249033372465e-16	-1.8212039799732253e-16	-2.36903134799925e-16	4.0051092624342005e-17	-4.9177901665233825e-17
-1.7690571288599096e-17	-3.9133793706380285e-18	-7.195222364490651e-18	2.9480400583886926e-17	1.4976368760649668e-17	-7.695033553593684e-18	-4.44249493563622e-17	5.831520504658534e-19	3.353993825764984e-17	7.470788769078572e-17	-1.1529216757943331e-16	-1.908341448553134e-18	3.3139007550721843e-18	-6.989648570955545e-17	3.3739746872934013e-17	-2.0452696494099732e-16	-1.0306598815542217e-16	4.851307027568576e-17
1.8969052558921384e-17	3.2210184422521156e-18	-4.899580784379788e-17	1.7480570028382252e-17	4.770741042011461e-18	-4.732443044051808e-17	1.1189477962444093e-16	-6.051377818124606e-17	-2.316535555075322e-17	6.431303485266274e-17	2.7570543032163907e-17	2.6410892956783824e-17	-4.512778612678828e-17	8.009766059859761e-17	9.052477605900365e-18	4.3824925072929516e-17	7.184143976059684e-17	-6.137870619664867e-18
9.131438883841341e-18	2.140882730946625e-17	-4.0665120281707955e-18	2.222828373836204e-17	1.6539490706122196e-17	6.373206804289295e-18	5.607488589659897e-17	-1.4597514835626372e-17	-2.401599372952561e-17	1.4383406063353688e-17	-3.602117878813145e-17	8.693278971816466e-18	-4.070184759392563e-17	2.0038770761217772e-17	7.232807463862982e-17	-1.2781232087862513e-17	3.6338607352645165e-17	-5.910840029427246e-17
1.996983489726901e-18	-1.088330471375885e-17	3.4830745153189563e-17	-9.973663959494475e-18	1.7677632381298546e-17	-8.317887372973706e-17	7.376453219782078e-17	-3.637010891782158e-17	1.1728730777481607e-17	-2.31759732889561e-17	-8.450682472748181e-17	6.367316561219319e-17	3.5158899680870526e-17	-7.571526788781604e-18	-6.189630245391427e-17	3.9522623710570626e-17	8.586409286750875e-18	-1.0907835093998423e-17
-5.537526710348128e-17	1.4230289018218132e-16	5.0192511942821576e-17	-2.89052121804931e-18	-5.100599452585308e-18	6.815849956958322e-17	1.992109621730413e-17	1.0200222823575785e-17	2.1432722478945993e-17	1.0248187821241981e-16	-3.788392080333307e-18	-5.958797989771593e-18	-5.664569181135849e-17	7.321380531509611e-19	7.946547913722031e-17	8.65431667108465e-17	1.4012237931267458e-16	-6.290692759032027e-17
6.383473655220165e-18	-9.468120362397877e-18	-4.7071364223530633e-17	4.0832960465510745e-17	-3.927885571152813e-17	7.022912187267909e-19	1.5296060979041052e-17	-4.363442859947163e-17	5.1131489321530165e-17	5.2433617082084756e-17	-3.23928920031694e-18	1.4699822938377726e-17	2.4578055824670767e-17	9.097655420071709e-18	-3.486185779373729e-17	1.798530764121767e-17	-1.2829091426749325e-17	-1.2552152949043077e-16
1.0106936714779374e-17	-2.4934247637809808e-17	-4.4042719350960524e-17	2.1632267119734032e-18	4.028249806003918e-18	1.630438543326031e-17	3.063980074095465e-17	-3.0550105692388706e-17	7.122988024089785e-18	1.289775109307526e-17	-4.7115695592127445e-18	1.8534505064085136e-17	-5.0984127103019765e-17	-2.7835031446071225e-17	2.3636658200393586e-17	-2.7564531537547725e-17	8.52866192970378e-19	3.7818433098634323e-17
