1.710529786141905e-16	-2.2256573894105466e-17	5.826128917074664e-17
2.4172708107189887e-17	7.160959792293179e-17	2.7825892575174365e-17
-3.306445588835591e-17	4.116955222404405e-17	-4.5673250897994516e-18
3.6234173598079804e-17	-3.700394901325611e-17	-2.2681809143451643e-17
1.8559931289110276e-18	2.58995433995841e-17	-8.551946828162545e-18
2.309692013765693e-17	-9.23246655777654e-17	3.1229903504577474e-17
-1.557541704892275e-17	2.4542913967048905e-17	2.1567274533720758e-18
-3.725906764394856e-18	5.688496814029784e-18	-1.0698368164849014e-17
3.640178545867973e-18	9.338855479249553e-18	6.553628830616602e-18
-1.3663374288107983e-17	1.3762528853646348e-17	-1.6004633438971175e-17
2.6756702589728064e-17	-5.711977931019939e-17	3.205041451929492e-17
1.0479624227469424e-17	-3.824535722625688e-17	9.122933817746182e-18
-5.126537735064883e-18	6.359387899616947e-18	2.9989912141840237e-17
-5.328611088772932e-18	-1.2335131847524638e-17	-1.4980513641489978e-17
-3.085327488060703e-17	-1.8196929804625343e-17	-8.683467903108784e-18
-3.741685653143403e-18	4.2885877457387264e-17	-1.4574519955557865e-17
1.3576391090279887e-17	-7.622042221127858e-17	2.3769355783680555e-17
-7.314607105772546e-18	1.7430101693597094e-17	-2.736793205886135e-17
5.71512303228915e-18	2.924071818190835e-18	1.242566819564465e-17
3.4240997884126353e-18	-5.490237403372048e-18	-1.7864240480254402e-17
3.191801537263835e-19	-6.149974315270012e-18	-9.171763888019214e-18
-1.3512779256491403e-17	-3.406185695287273e-18	-1.1149596570054175e-17
-3.746677396542803e-18	7.397167162288532e-18	4.9586976385885515e-18
-3.3499450084664186e-18	3.6555002210598394e-18	-1.2873308731362738e-17
5.164441903988737e-18	-6.694636044217598e-18	-3.2437030732763905e-18
-4.03061328045074e-18	3.528863870483006e-18	2.6160979749099674e-18
2.306991036556338e-18	-6.544225568879788e-18	-3.612447962983671e-18
1.729911402313246e-18	4.28379246148024e-18	2.0753895185777735e-17
-2.0120645945384894e-18	5.768669049892653e-18	-1.1488778473168669e-17
-1.1202467113254856e-18	-1.4996075220431132e-18	-7.590091632989313e-18
-3.0585287741209554e-18	-7.093532422808049e-18	-1.1312762359564473e-17
-6.165381638407095e-19	1.6129254409018039e-18	4.302333920864267e-19
-1.3562724689055282e-18	-4.953961785293752e-18	-1.2502510158821293e-17
1.640215606758198e-18	4.254704303298858e-18	9.387505868932186e-18
7.469447392290886e-19	-1.160035262973283e-18	1.144245878130359e-18
-1.7148901977184711e-18	-4.552044351169138e-18	-9.469087471415724e-18
-7.700433687416172e-19	-6.151988289532351e-18	-1.1500745611100172e-17
2.3941089881508214e-19	1.599086145809008e-18	-3.6717386656994974e-19
-6.695062861520847e-19	1.2339344518385801e-18	-2.7353359838768654e-18
1.7322704402641562e-18	3.9118502259213605e-18	6.856730422157125e-18
-1.1846937451095424e-18	-5.860227918353838e-20	-2.8829906222114654e-18
-2.3816835199752e-18	-6.0388974691368486e-18	-1.5876967653339956e-17
9.926956033102717e-20	-8.471957393863936e-19	-3.673630487988032e-18
1.5564006252599593e-18	5.248221021257108e-18	1.2433446512013213e-17
9.544492701863354e-19	4.00426118962392e-18	1.094860231049451e-17
3.194393686392224e-18	7.879894281057612e-18	2.0337891790762763e-17
-9.573022653462662e-19	-2.631806062583628e-18	-8.371626563138566e-19
-3.1854468649282215e-19	3.495654486360683e-19	-1.591199226185897e-18
2.776531370465679e-19	-1.242752638551265e-19	1.074184865687215e-18
-3.883137006942811e-19	-1.3920234858592703e-18	-9.906531046232234e-19
1.0034367424846165e-18	1.765467341634599e-18	6.432061760764367e-18
-1.593488125469397e-19	-9.201291661279105e-19	-4.054674766416809e-18
-6.909752391985262e-19	-1.386927074329411e-20	-9.328459775919588e-19
3.16282310711956e-19	-5.84037284537669e-20	5.867667986140578e-20
-1.039336155068009e-18	-7.031471463972665e-19	-2.5039547911614748e-18
2.1939775147195122e-21	4.97136607289235e-19	7.400937390161871e-19
-1.6508985322141865e-19	-5.570229495004899e-20	-6.727241876797094e-19
2.3362877654000962e-20	7.773833351524784e-20	2.0671853996974843e-19
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
