1.7880707220032592e-16	4.0460700706041375e-17	-1.294891938040407e-18	-1.6197302295919523e-17	9.409966019483494e-17	2.960730427452414e-17	-1.3839251990072756e-16	-2.829010065662083e-17	-5.17193410898109e-17	-6.595360496872739e-17	2.499973149344632e-17	3.587944378566464e-17	2.641075314600558e-19
-4.098671473365325e-17	3.0167633888930035e-17	-7.722395267034718e-17	2.7407460875334873e-17	3.374304237636409e-17	4.0250678742108977e-17	9.986759658272999e-17	-3.009942438080127e-17	-1.9381286411112843e-18	2.1131104126072102e-17	2.937535944529627e-19	-3.824731168979315e-17	9.387612606340721e-18
-4.617049876627846e-17	4.116629112096874e-17	-1.7838926748555038e-17	-2.916635938660502e-17	-8.848783116665398e-17	2.5274308856989534e-17	3.4566757354477126e-17	-2.925118790721125e-17	5.029400529808254e-17	-7.35641889032055e-18	-5.4115381361752844e-17	6.893772771117318e-17	-4.4207397580942165e-17
3.7612712612885645e-17	1.5481124622837258e-17	-7.829374412836477e-17	-4.253031960840456e-17	6.799067764061237e-17	-5.245366132740374e-17	1.5994498536599628e-17	-5.37212962203591e-17	1.0226372360280915e-17	2.921649712586371e-17	-7.055447076425461e-17	-1.8882794835888746e-18	-1.4360225653648686e-17
-3.679677871278907e-17	1.3581624190546787e-16	-4.969812289701796e-17	3.9577776233890055e-17	-8.067271156953629e-17	-7.257456016974909e-17	4.008274673766758e-17	-5.937321142826099e-17	-3.3003318048277916e-19	3.5535529180019263e-17	-5.902136410689165e-17	2.9856300577396614e-18	-4.586193241123786e-17
-2.1300405120322436e-17	5.1381948190734365e-17	4.152643770879942e-18	5.700268682901285e-20	2.441191941158716e-17	-4.608286396623777e-17	1.561854749887845e-17	-1.0217459652504364e-17	1.3825745309063102e-17	2.457249856635035e-17	-5.399404996412716e-17	6.826551924614557e-17	2.3004753694148357e-17
-2.4933493111371955e-17	6.52370813306015e-17	1.6065471256946987e-17	-7.279506144802468e-17	-1.834160862168097e-17	4.569673832480735e-17	-3.98782763000653e-17	1.2637982868560844e-17	5.13275123798408e-18	-3.738584440871765e-17	-1.7929680641588332e-17	-9.03180642686626e-18	2.206133609253604e-17
1.0532042130772713e-17	1.4726628404584274e-17	6.0616640961501355e-18	1.3643324866095523e-17	-2.6803000373677545e-17	4.889618894161605e-19	9.438883889154667e-17	1.0932973118814018e-16	1.087677113948502e-16	-3.173249579980081e-17	-5.1308803041386126e-17	5.347755909337866e-17	8.366489123517009e-17
1.0282830717843992e-19	-2.107302309464717e-17	-1.1634268815227242e-17	7.522597388157365e-18	-2.6569388296172665e-17	-4.199456431042324e-18	3.750136756475736e-17	2.2588898257699955e-17	-5.770308182771476e-18	-6.8992882784786674e-18	-2.771525597698355e-17	5.647297989443767e-17	5.358737247738783e-17
-3.647635188805492e-19	-6.3975875825522265e-18	7.325236111507288e-18	1.2503098838057661e-17	-3.902193823486521e-17	2.660221367362354e-17	-8.253333381732303e-18	-3.7158388064115626e-17	-4.6797729266334675e-17	-7.812868969157955e-17	1.1329295387599168e-17	-6.171444865348561e-17	3.183409214081686e-17
-1.2753448236443034e-17	1.2029500838459427e-16	3.2119388781465816e-17	4.3580811629311665e-18	1.0358345326158061e-16	-6.439588765028964e-17	-2.0288240903502596e-16	-7.56580545417746e-17	1.1824511874442622e-16	2.324168027302126e-17	-5.0930283138390015e-17	-5.051489882719418e-17	-2.766159188553656e-16
-2.4810542549803628e-17	1.6473820937097e-17	2.2088890850068402e-17	-5.72563982852878e-18	-5.585827410746527e-17	1.8715439096837162e-17	-9.362323896878705e-17	7.138872636791529e-17	-2.0800609691191205e-17	-2.21470598763471e-17	8.028674654077192e-19	-3.854707248923751e-17	-5.187444089270225e-17
7.570895898123756e-18	7.029056585417476e-18	-1.5910487360782947e-17	4.224171729167247e-18	-1.3074596096937219e-17	-1.415191146456676e-17	3.651940357001067e-17	2.6602570875754288e-17	5.97827131520131e-17	-5.735369971010281e-17	1.6162658127853075e-17	5.96481210835174e-17	-9.812044322962816e-18
-9.219483246952346e-18	-6.57293304137572e-18	-1.0303159586256402e-17	-2.906299921941455e-17	-9.578908501530685e-18	1.9054178137590678e-17	1.733709662843641e-17	2.4972790020209826e-17	-3.0425688312927735e-17	-8.394816020718941e-19	1.5170545383508617e-17	-3.1420598591095216e-17	-3.359746640680372e-17
6.1014743123570064e-18	-2.5505259587990006e-18	-3.665540986782884e-17	1.6331240754345058e-17	1.9275175194068576e-17	-4.466983375872738e-17	-2.1724234671234933e-17	-4.664285363668019e-17	2.117886181037349e-17	2.0000177561745622e-17	-6.44508682890252e-17	1.3455298890400105e-17	-8.120364803281117e-18
-3.784997563156797e-18	-8.079370492582924e-20	1.5579205266327075e-17	4.461305544367105e-18	1.937327774861362e-17	-1.428330580486767e-17	5.376950063736696e-18	4.743137944503787e-18	-2.8107933439990257e-18	4.356967174633414e-17	-9.325332298456403e-18	-3.3057776397471027e-17	-1.5462050020819424e-18
5.0089835397766e-20	1.8480404842988076e-18	8.484019430973458e-19	7.665539664095405e-18	4.710900620634188e-18	5.038738430867765e-18	-1.484897697360675e-17	3.627924177361078e-18	7.697032297736713e-18	-1.1158759368152757e-17	1.6973985907877902e-17	-3.256522659662314e-17	1.8788759468807697e-17
1.7422156633018764e-18	-1.5611590340722623e-17	1.3499224557407038e-17	3.416987911706468e-17	-3.957555739711816e-17	-5.617720566983978e-18	-8.640323782756679e-18	3.8195669172562096e-17	4.137805697507405e-17	-5.656260590141457e-17	-2.0130705511544468e-17	4.4731966069925216e-17	-2.430070699048806e-17
2.3170910501904303e-18	1.695544037648629e-17	-8.273660451852957e-18	-1.777374729663325e-17	2.0150228848111904e-17	-7.57654645909236e-18	8.803707599240752e-18	-5.802787250210105e-17	-2.4329726171230226e-17	1.7153425634798165e-17	6.162288358626604e-18	2.9202801731594757e-18	1.4126453599088818e-17
-1.6353575061530742e-18	-1.0898953623756019e-17	-4.829573564952608e-18	2.614944371514172e-17	5.474447209920992e-18	7.45477237108172e-18	-1.6006275007512322e-17	2.0991838089362325e-18	-9.80561446382844e-19	1.7402027920466716e-17	1.4171419153480768e-17	1.762082869260867e-17	9.002788134375031e-18
2.04211780959951e-18	-8.725191673545576e-18	-1.3592114401874638e-18	1.948372419487767e-17	5.523121513610375e-19	3.459173846330401e-18	-1.099483620056577e-18	5.547446431129479e-18	1.4162630278077697e-17	2.2211384515847184e-17	-2.538017797618037e-17	3.511226866205478e-17	-9.328072120532913e-18
