2.0154638315963045e-16	6.477537831234751e-17	1.0683215190826985e-16	5.336417235190177e-17	-1.1254177404824487e-16	3.882018344183555e-17	-6.853907126142294e-17	5.425257292607957e-17	6.492188399509244e-17	5.724323229999084e-17	1.1345130895915802e-16	5.434734843611315e-17	-9.516154144056e-17	-2.619527176926054e-17	6.938738739061983e-17	7.412126444497306e-17	1.4751068479263675e-16	1.0063755218081951e-16	7.038811139055459e-17	2.1939199191817926e-17	2.1688206414256259e-16	-6.873539184399293e-17	-1.451274780299577e-16	2.159699871656491e-16	2.026583243824428e-16	3.198568785122907e-16	4.2616746685160756e-18	-3.7462894571861994e-17	-1.894335404280392e-16	-8.235169764943257e-17	-2.1815849791654208e-16	-1.4308771213055784e-16	-2.489701202722328e-16	1.8817428130236008e-16	-2.8556089311297957e-16	-3.165125446230946e-16	2.1814907761934132e-16
-1.983583657083912e-17	4.1252059009796194e-17	-1.885175098712565e-16	6.616754711958542e-17	1.9599503512999604e-17	-1.8089274218654037e-16	-1.53282060390587e-16	2.375616529044555e-16	-1.1397440435385715e-16	-7.796224107118601e-17	6.504629247916226e-17	-2.986518167196786e-17	3.1053197745308366e-16	-2.265137736034421e-17	8.0057916017178e-17	-1.292098494214909e-16	7.186671053547977e-17	1.2586873407324758e-16	-3.216514323647262e-17	2.6308885212704097e-16	2.619515346038576e-16	-3.705189020329457e-17	-8.066760144238835e-17	4.787030280283239e-16	2.2764675555715373e-16	9.620908932429698e-17	-4.5705770640791644e-17	-2.6106240169676705e-17	1.7946615645356935e-18	4.379027701221398e-16	-7.563555521530088e-17	-9.032114176863853e-18	1.1088638875680442e-16	-1.1903048177395746e-16	-3.2677474674252044e-16	-8.064158669594263e-16	2.3388383665685976e-16
-2.421802274537138e-17	-1.5724756723823716e-17	-1.9373000326935202e-17	-6.5006811509339e-17	7.361993848168654e-17	-3.893289988602953e-17	-3.1475796865466265e-17	-1.1417073504687617e-16	-2.200038002717683e-17	1.4388986251042217e-17	-1.6586944667145567e-16	1.6711990684934342e-16	-8.281732220363759e-17	1.0737249033372465e-16	-1.8212039799732253e-16	-2.36903134799925e-16	4.0051092624342005e-17	-4.9177901665233825e-17	1.3691460913347086e-16	2.5788583345613195e-16	2.3837286421817422e-17	3.6110748569083137e-17	1.4915686519854262e-16	2.259216962795488e-16	7.502560456933628e-17	-2.1877812266911077e-16	-1.64687465330162e-16	2.983767849118645e-17	4.069496441929875e-17	-1.2231960398805173e-16	2.575931435096249e-16	-1.899693115998061e-16	-2.1332622518338708e-16	-6.587293416970606e-17	8.065383830926112e-17	-4.092649269889741e-16	-1.6910578192459023e-16
-1.7690571288599096e-17	-3.9133793706380285e-18	-7.195222364490651e-18	2.9480400583886926e-17	1.4976368760649668e-17	-7.695033553593684e-18	-4.44249493563622e-17	5.831520504658534e-19	3.353993825764984e-17	7.470788769078572e-17	-1.1529216757943331e-16	-1.908341448553134e-18	3.3139007550721843e-18	-6.989648570955545e-17	3.3739746872934013e-17	-2.0452696494099732e-16	-1.0306598815542217e-16	4.851307027568576e-17	3.211481367489678e-17	9.82997552891428e-18	-1.5219330941793204e-17	-5.1793424480427185e-17	-1.2476045327464501e-16	9.803404836965162e-17	7.803812314411239e-17	1.3916655819292652e-16	1.1049056971647175e-16	3.616012181857194e-17	-5.831855323056663e-17	-1.0217231352175381e-16	-2.604725635748093e-16	-1.8748618173156407e-16	-1.3662425181136297e-16	1.8266055791746494e-16	9.91920130918298e-17	7.106156915168391e-17	3.9679228653513364e-17
1.8969052558921384e-17	3.2210184422521156e-18	-4.899580784379788e-17	1.7480570028382252e-17	4.770741042011461e-18	-4.732443044051808e-17	1.1189477962444093e-16	-6.051377818124606e-17	-2.316535555075322e-17	6.431303485266274e-17	2.7570543032163907e-17	2.6410892956783824e-17	-4.512778612678828e-17	8.009766059859761e-17	9.052477605900365e-18	4.3824925072929516e-17	7.184143976059684e-17	-6.137870619664867e-18	7.59412039433656e-17	-5.688220519865179e-17	-4.2536290564083507e-17	2.0748622886269116e-17	1.806339277852578e-17	1.016491054567577e-17	6.32778363051374e-18	9.478770828280753e-18	-6.305902999738967e-17	3.757581567417783e-17	-7.301308469991741e-17	1.3991569271920292e-17	8.826622191992965e-17	-7.616693038428444e-17	1.722777181811109e-16	3.633140446939213e-17	-2.7880521604851034e-17	-5.4634632993134964e-18	-7.471598835697607e-17
9.131438883841341e-18	2.140882730946625e-17	-4.0665120281707955e-18	2.222828373836204e-17	1.6539490706122196e-17	6.373206804289295e-18	5.607488589659897e-17	-1.4597514835626372e-17	-2.401599372952561e-17	1.4383406063353688e-17	-3.602117878813145e-17	8.693278971816466e-18	-4.070184759392563e-17	2.0038770761217772e-17	7.232807463862982e-17	-1.2781232087862513e-17	3.6338607352645165e-17	-5.910840029427246e-17	6.38634216050227e-17	-2.1099322185340212e-17	3.342662032580744e-17	-6.1114998200018634e-18	7.512328766467527e-17	-1.815758139093778e-17	1.418826618944387e-17	3.5704121391137764e-17	-7.395660231204867e-17	-2.5649173214765323e-17	-4.7415028550666494e-17	-1.0727984572078128e-17	-2.6151721777910332e-17	-1.4651044367007697e-17	1.7436133229943478e-17	-6.358811410541343e-17	-1.2161938694311723e-16	-4.209623787475088e-17	-1.1819434871049893e-16
1.996983489726901e-18	-1.088330471375885e-17	3.4830745153189563e-17	-9.973663959494475e-18	1.7677632381298546e-17	-8.317887372973706e-17	7.376453219782078e-17	-3.637010891782158e-17	1.1728730777481607e-17	-2.31759732889561e-17	-8.450682472748181e-17	6.367316561219319e-17	3.5158899680870526e-17	-7.571526788781604e-18	-6.189630245391427e-17	3.9522623710570626e-17	8.586409286750875e-18	-1.0907835093998423e-17	5.429141518033574e-18	-3.6498333075413966e-17	3.0167432127474784e-17	5.416444132289935e-18	-8.477417537491743e-18	3.3311369105038948e-18	1.0524765382660897e-17	-6.845120376506059e-18	6.195826091811562e-17	-2.3921371142554006e-17	2.182123603216232e-17	-1.3784019377018217e-17	-6.369956078040449e-17	8.078515537282026e-17	5.111027788994254e-17	-8.36050545449018e-17	-9.177748351165595e-17	5.969124932745827e-17	1.408873903559932e-16
-5.537526710348128e-17	1.4230289018218132e-16	5.0192511942821576e-17	-2.89052121804931e-18	-5.100599452585308e-18	6.815849956958322e-17	1.992109621730413e-17	1.0200222823575785e-17	2.1432722478945993e-17	1.0248187821241981e-16	-3.788392080333307e-18	-5.958797989771593e-18	-5.664569181135849e-17	7.321380531509611e-19	7.946547913722031e-17	8.65431667108465e-17	1.4012237931267458e-16	-6.290692759032027e-17	-1.1670338645568758e-16	-4.35893601132079e-17	-7.421215680150017e-17	-7.8305175009606e-17	-2.1660006371042203e-17	6.448126872944457e-17	-3.003857286853477e-18	5.754714980589493e-17	-2.351895125943638e-17	-1.5382449100106874e-16	1.6132591598039317e-16	8.370809748467782e-17	-6.082770278250396e-18	1.2358953814809835e-17	2.443816294077097e-17	1.0473508434839292e-16	-2.3629768593993616e-17	1.3496387441502416e-16	4.887498380201977e-17
6.383473655220165e-18	-9.468120362397877e-18	-4.7071364223530633e-17	4.0832960465510745e-17	-3.927885571152813e-17	7.022912187267909e-19	1.5296060979041052e-17	-4.363442859947163e-17	5.1131489321530165e-17	5.2433617082084756e-17	-3.23928920031694e-18	1.4699822938377726e-17	2.4578055824670767e-17	9.097655420071709e-18	-3.486185779373729e-17	1.798530764121767e-17	-1.2829091426749325e-17	-1.2552152949043077e-16	-2.531798361918776e-17	-4.57055432624848e-17	8.151686414493786e-17	-1.2547465854447817e-17	1.9364976415008402e-17	-4.0548862263425196e-17	5.475242357905644e-17	-2.3800551941492977e-17	-3.716354015287838e-18	-2.0614906424940498e-17	-1.4555986352198041e-16	7.796330172557241e-17	-5.607453037351633e-17	-1.4431972659548853e-16	-2.984241927187655e-17	3.4921996507511465e-17	8.760414602918013e-17	-9.270624842704514e-17	6.385636967274934e-17
1.0106936714779374e-17	-2.4934247637809808e-17	-4.4042719350960524e-17	2.1632267119734032e-18	4.028249806003918e-18	1.630438543326031e-17	3.063980074095465e-17	-3.0550105692388706e-17	7.122988024089785e-18	1.289775109307526e-17	-4.7115695592127445e-18	1.8534505064085136e-17	-5.0984127103019765e-17	-2.7835031446071225e-17	2.3636658200393586e-17	-2.7564531537547725e-17	8.52866192970378e-19	3.7818433098634323e-17	-4.312936496177856e-18	2.7870017894382554e-17	4.3044789313904004e-17	8.109324130961568e-17	-5.399885400905641e-17	8.213890439851638e-18	1.115866459774801e-16	-3.601914903269785e-18	-1.4222790978078293e-17	-1.3353346646068563e-16	-1.1952247936681825e-16	2.0341551968088883e-17	-5.762401045496767e-17	-4.8061792139173114e-17	-4.171425458618888e-17	1.4988258144950126e-17	6.150426498385178e-19	-3.664113577198141e-17	-1.1901755820916035e-16
